,name,date_post,tracks,likes,reposts,user,link
168,qdiene playlist,26 June 2021,15,None,None,Khương Duyên,https://soundcloud.com/kh-ng-duy-n-525079441/sets/qdiene-playlist
169,New private playlist,17 April 2020,15,None,None,THANGrealboiz,https://soundcloud.com/tr-n-o-n-b-o-th-ng/sets/new-private-playlist
170,🤡,4 June 2021,12,None,None,ngoc anh,https://soundcloud.com/iamanhhhhh/sets/7f3rt5kdvfwz
171,Của Rick.,27 April 2021,15,None,None,$ a R i c k a.k.a,https://soundcloud.com/rick-evilman/sets/m-n-c-i
172,rap,19 June 2021,12,None,None,Nguyễn Kha,https://soundcloud.com/kha-hoai/sets/rap
173,pay,27 June 2021,8,None,None,Nguyễn Minh Chiến,https://soundcloud.com/nguy-n-minh-chi-n-227382288/sets/pay
174,duyenduyen,1 April 2021,32,None,None,duyên đỗ,https://soundcloud.com/user-858596321/sets/duyenduyen
175,tune,27 June 2021,5,None,None,TS309,https://soundcloud.com/tu-n-s-n-168654930/sets/tune
176,qqq,19 November 2020,15,None,None,hí hí,https://soundcloud.com/minh-trung-502284652/sets/qqq
177,Class,17 April 2021,15,None,None,Lê Quốc Hùng,https://soundcloud.com/l-qu-c-h-ng-306975235/sets/class
178,New & hot: All music genres,27 June 2021,15,None,None,Hoang Anh Le,https://soundcloud.com/hoang-anh-le-394778591/sets/new-hot-all-music-genres
179,chillwithme,18 April 2020,15,None,None,bảo như,https://soundcloud.com/b-o-nh-428713768/sets/chillwithme
180,Ngan,14 November 2020,15,None,1,Huỳnh Ngân,https://soundcloud.com/hu-nh-ng-n-21313797/sets/ngan-1
181,Freedom,5 March 2021,15,None,None,dreamer,https://soundcloud.com/tr-nh-thanh-phan/sets/freedom
182,chill,20 April 2021,13,None,None,Thi Phamhoang,https://soundcloud.com/thi-phamhoang/sets/chill
183,Chill,27 June 2021,26,None,None,buiquangdu730,https://soundcloud.com/buiquangdu730/sets/chill
184,Love is,27 June 2021,2,None,None,tus,https://soundcloud.com/toilatu29/sets/track
185,usuk,18 September 2019,15,None,None,LilDoo,https://soundcloud.com/b-i-i-vi-t-219716999/sets/usuk
186,chill,23 February 2021,15,None,None,Nhi Phạm,https://soundcloud.com/nhi-ph-m-893321664/sets/chill
187,...😔,15 April 2021,15,None,None,Vy Phạm,https://soundcloud.com/vy-ph-m-689949378/sets/wjoahus2kgoi
188,Dou,28 June 2021,15,None,None,Rosiee,https://soundcloud.com/nhongg-ng/sets/dou
