,name,date_post,plays,likes,reposts,genre
96,HÀNH TINH BUỒN TÊNH - ERICthe17 ft. JAYSON LEI [prod. JAYDEN],2 May 2021,"76,439",945,35,Hip-hop & Rap
97,fishy ft Trí Dũng - Forget me now,12 April 2021,"1,495,005",17K,550,Pop
98,Tự Tình - Quang Huy (Minh Triều st.),7 July 2019,"1,456,799",14.6K,480,Indie
99,MẶC KỆ EM (Đây là một bài hát đơn giản) | JOEY,27 April 2020,"1,098",21,1,R&B & Soul
100,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,644",12.1K,401,None
101,HS ROBE - FORREST GUMP (UNOFFICIAL),14 September 2020,"739,250","8,040",293,Hip-hop & Rap
102,SAY NO - YUNO BIGBOI ft ROBE (UNOFFICIAL),20 January 2021,"674,224","6,192",125,None
103,[DCOD] NGTANOISE (Người ta nói - remake) | VSOUL x MFREE x TUYEN VO|,16 July 2019,"5,044,516",44.1K,"1,291",None
104,VSOUL Live -Cô Đơn Phương Nào - VSOUL- Rap Session #16,7 November 2020,"402,431","3,531",103,Pop
105,[Official MP3] Loay Hoay - Sol Ft. P.Shi,19 June 2017,"329,714","2,706",127,None
106,PAR SG x New$oulZ - Ly Do Nao De Quay Lai Voi Nhau,2 March 2018,"3,881,221",36.5K,"1,898",None
107,PAR SG - instagram ft. Vũ Thanh Vân (Prod. by east),12 February 2020,"1,667,745",15.7K,455,None
108,TOFU x URABE x XESI - Qua Những Tiếng Ve ft VoVanDuc,31 May 2017,"1,229,001","9,607",806,Rap & HipHop
109,"Thôi Trễ Rồi, Chắc Anh Phải Về Đây - TeA &. PC",15 March 2020,"193,674","2,093",47,None
110,TIN ANH TỪ ĐẦU - Dejavu feat. Judy Mai | Prod. by Sony Tran,26 June 2020,"1,393,299","4,813",69,Pop
111,Rebound (feat. tlinh),5 January 2020,"2,173,565",18.8K,569,R&B & Soul
112,"""BAD THINGS"" - Riddy x tranmai x Luck (prod. by wavytrb)",16 August 2020,"101,977",682,13,None
113,WEAN - MOT NGUOI VI EM |ACOUSTIC|,8 October 2020,"431,224","2,166",41,Hip-hop & Rap
114,internet love,19 September 2020,"3,342,041",43.7K,"1,567",đố biết
115,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,182",26.2K,663,Piano
116,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,186",26.2K,663,Piano
117,Tell Ur Mom - Bệu x Winno ( Prod by Ocean Beats ),9 January 2019,"249,913","2,350",133,Kewt
118,Tommy Tèo - yongboi si tình muốn 1 mình thêm 1 đêm nữa thôi,14 February 2021,"934,527","8,472",443,None
119,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,646",12.1K,401,None
120,FORREST GUMP - HUSTLANG RECORD (unofficial version),3 October 2020,"163,888","1,762",57,Entertainment
121,Em 20 - Winno,3 December 2020,"2,412,327",18.9K,None,None
122,'tim em ko kó một đường nào' - Winno (ft Heily),22 August 2020,"1,956,581",14K,None,None
123,Sony Tran - Attention ft. Zuy & VSoul [OFFICLA AUDIO],7 February 2021,"403,809","4,158",133,hiphop rnb
124,Rapitalove EP| Tay To - RPT MCK x RPT PhongKhin (Prod. by RPT PhongKhin),6 April 2021,"7,680,245",71.5K,"2,527",R&B & Soul
125,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,216",26.2K,663,Piano
126,🎄Last Christmas🎄-Vsoul ft. Robe & Chiulinh,26 December 2020,"78,568",991,24,Hip-hop & Rap
127,"REX - 5050 Remix (feat HURRYKNG, MANBO, HIEUTHUHAI)",28 April 2021,"390,696","3,316",60,Hip-hop & Rap
128,Moonlight Romance,11 October 2018,"221,477","4,613",160,beats
129,my yoshi,9 September 2019,"260,882","3,138",95,Pop
130,Tadow Ft. FKJ,7 September 2018,"1,213,850",25.8K,"1,101",None
131,"""RAIN"" ~ Lo-fi Type Beat, Chiil Emotional Guitar, LoFi Hip Hop Instrumental 2019 2020",16 December 2019,"85,075","1,676",None,Hip-hop & Rap
132,[Copyright Locked] Chill Lofi Hiphop - 'I Need A Girl' by l33,5 May 2019,"637,421","9,413",480,Lofi
133,ĐẾN RỒI LẠI ĐI,11 August 2019,"1,061,206","9,341",356,R&B & Soul
134,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,646",12.1K,401,None
135,LIFE GOES ON - KEY X PJNBOYS X P$MALL,8 March 2020,"77,026",564,18,Hip-hop & Rap
136,HIEUTHUHAI x HURRYKNG - LAVIAI (produced by Tundra Beats),25 December 2019,"488,166","4,749",217,Hip-hop & Rap
137,5 nam,6 June 2013,"528,993","3,364",307,Rap Hiphop
138,Đen - Đi Theo Bóng Mặt Trời ft Giang Nguyễn,14 May 2017,"3,541,544",33.4K,"2,353",Hip-hop & Rap
139,Hà Nội Của Bố - JGKID Ft. Emcee L Ft. KraziNoyze,26 May 2016,"1,346",7,1,None
140,Chua bao gio Full,6 June 2012,"1,868,403",14.1K,"1,164",Vietrap
141,Lam Deo Gi,13 June 2013,"1,115,913","8,768","1,059",Hiphop
142,Bumblr Bee ft. TO$KA,24 August 2018,"381,684","4,285",273,Trapwaii
143,Tommy Tèo - yongboi si tình muốn 1 mình thêm 1 đêm nữa thôi,14 February 2021,"934,530","8,472",443,None
144,Phin - 99999 đóa hồng,24 January 2021,"499,849","6,248",302,Alternative Rock
145,SUY - nger,16 September 2020,"877,640","8,259",190,None
146,Thuốc Lá Và Cà Phê - Bray,18 July 2018,"1,687,117",11.5K,474,None
147,Tell Ur Mom - Bệu x Winno ( Prod by Ocean Beats ),9 January 2019,"249,913","2,351",133,Kewt
148,Tell Ur Mom II - Winno (ft Heily),18 June 2021,"1,756,287",26.2K,663,Piano
149,muon duoc cung em & mat troi cua em-FREAKY X Pháo X QUỲNH GAI,8 November 2020,"2,340,847",13.9K,258,muonduoccungem
150,"ALL TIME WINNER - Coldzy (feat. Wxrdie, Right, Gill)",21 September 2019,"472,297","5,991",242,Hip-hop & Rap
151,FORREST GUMP - HUSTLANG RECORD (unofficial version),3 October 2020,"163,889","1,762",57,Entertainment
152,ĐẾN RỒI LẠI ĐI,11 August 2019,"1,061,207","9,341",356,R&B & Soul
153,"SMO - Búa Đi ft (Lilwuyn , Khoa Wzzzy , CAM , Datmaniac , Ricky Star , Seachains)",19 January 2020,"496,094","5,111",175,Hip-hop & Rap
154,95G ( SMO X Lilwuyn X Khoa Wzzzy X NVM ) - UP - Ft Kimmese Official Video,8 January 2019,"35,420",348,13,Hip-hop & Rap
155,y2mate.com - Hạ Còn Vương Nắng Lofi Ver Lyrics DATKAA x KIDO TrucTran MC,10 April 2021,"97,255",761,24,None
156,𝑮𝒊𝒂̂𝒚 𝒑𝒉𝒖́𝒕 𝒂̂́𝒚 - 𝑨𝒏𝒕𝒂𝒓𝒛(Lofi by Hyarsways),3 February 2021,"3,356",40,5,R&B & Soul
157,anh sẽ tán nàng /Tay To/MCK. /manhjj,15 April 2021,"53,938",471,15,Hip-hop & Rap
158,ÔNG TRỜI LÀM TỘI ANH CHƯA Hương Tú X Khu Đình Cover,18 March 2021,"13,900",127,5,None
159,Cuộc đời khác ! - TRÍ x Poll,5 January 2020,"420,395","4,480",142,Hip-hop & Rap
160,"Level Up - Terry Ft. Ricky Star, Lil Wuyn, Robe ( Official Audio )",15 August 2019,"2,076,557",18.5K,630,Hip-hop & Rap
161,LUFFY/19 - Chiulinh ft. Robe (Available on Spotify),7 January 2020,"1,108,646",12.1K,401,None
162,w a t e r - Robe x Sol,18 December 2016,"227,055","1,950",126,Hip-hop & Rap
163,R - $ide ( prod by Soulju ) ft Robe,2 February 2019,"177,486","2,138",182,None
164,PULL UP - ROBE (DCOD),12 June 2020,"146,491","1,557",40,None
165,Raindrop (prod. Tuyên Võ) - Sol x Pjnboys,11 September 2018,"339,146","3,369",162,DCOD
166,Rapitalove EP| Tay To - RPT MCK x RPT PhongKhin (Prod. by RPT PhongKhin),6 April 2021,"7,680,276",71.5K,"2,527",R&B & Soul
167,"Lườiii 🍳 | Low G, Ska, tlinh",30 April 2019,"418,939","5,436",308,Hip-hop & Rap
168,"Tripper (ft Rube,DunkT)",2 May 2020,"159,137","1,645",59,Hip-hop & Rap
169,Japan (Prod. @JGramm),16 March 2018,"95,151,120",1.09M,40.3K,Hip-hop & Rap
